year0,orig,dest,flow
1990,COM,BDI,0
1990,DJI,BDI,0
1990,ERI,BDI,90
1990,ETH,BDI,2
1990,KEN,BDI,87
1990,MDG,BDI,0
1990,MWI,BDI,125
1990,MUS,BDI,1
1990,MYT,BDI,0
1990,MOZ,BDI,105
1990,REU,BDI,0
1990,RWA,BDI,19895
1990,SYC,BDI,0
1990,SOM,BDI,0
1990,UGA,BDI,5485
1990,TZA,BDI,27621
1990,ZMB,BDI,6
1990,ZWE,BDI,0
1990,AGO,BDI,2
1990,CMR,BDI,2
1990,CAF,BDI,2
1990,TCD,BDI,0
1990,COG,BDI,13
1990,COD,BDI,6673
1990,GNQ,BDI,0
1990,GAB,BDI,11
1990,STP,BDI,0
1990,DZA,BDI,0
1990,EGY,BDI,9
1990,LBY,BDI,6
1990,MAR,BDI,4
1990,TUN,BDI,0
1990,ESH,BDI,0
1990,BWA,BDI,0
1990,SWZ,BDI,1
1990,LSO,BDI,0
1990,NAM,BDI,71
1990,ZAF,BDI,189
1990,BEN,BDI,0
1990,BFA,BDI,0
1990,CPV,BDI,0
1990,CIV,BDI,0
1990,GMB,BDI,0
1990,GHA,BDI,2
1990,GIN,BDI,14
1990,GNB,BDI,0
1990,LBR,BDI,1
1990,MLI,BDI,1
1990,MRT,BDI,1
1990,NER,BDI,0
1990,NGA,BDI,0
1990,SEN,BDI,8
1990,SLE,BDI,0
1990,TGO,BDI,6
1990,KAZ,BDI,0
1990,KGZ,BDI,0
1990,TJK,BDI,0
1990,TKM,BDI,0
1990,UZB,BDI,0
1990,CHN,BDI,0
1990,HKG,BDI,0
1990,MAC,BDI,0
1990,PRK,BDI,0
1990,JPN,BDI,0
1990,MNG,BDI,0
1990,KOR,BDI,0
1990,BRN,BDI,0
1990,KHM,BDI,0
1990,IDN,BDI,0
1990,LAO,BDI,0
1990,MYS,BDI,0
1990,MMR,BDI,0
1990,PHL,BDI,0
1990,SGP,BDI,0
1990,THA,BDI,1
1990,TLS,BDI,0
1990,VNM,BDI,0
1990,AFG,BDI,0
1990,BGD,BDI,0
1990,BTN,BDI,0
1990,IND,BDI,8
1990,IRN,BDI,0
1990,MDV,BDI,0
1990,NPL,BDI,0
1990,PAK,BDI,0
1990,LKA,BDI,0
1990,ARM,BDI,0
1990,AZE,BDI,0
1990,BHR,BDI,0
1990,CYP,BDI,0
1990,GEO,BDI,0
1990,IRQ,BDI,0
1990,ISR,BDI,0
1990,JOR,BDI,0
1990,KWT,BDI,0
1990,LBN,BDI,0
1990,OMN,BDI,0
1990,QAT,BDI,0
1990,SAU,BDI,0
1990,PSE,BDI,0
1990,SYR,BDI,0
1990,TUR,BDI,0
1990,ARE,BDI,0
1990,YEM,BDI,0
1990,BLR,BDI,0
1990,BGR,BDI,1
1990,CZE,BDI,0
1990,HUN,BDI,0
1990,POL,BDI,4
1990,MDA,BDI,0
1990,ROU,BDI,1
1990,RUS,BDI,23
1990,SVK,BDI,0
1990,UKR,BDI,0
1990,CLI,BDI,0
1990,DNK,BDI,3
1990,EST,BDI,0
1990,FIN,BDI,0
1990,ISL,BDI,0
1990,IRL,BDI,1
1990,LVA,BDI,0
1990,LTU,BDI,0
1990,NOR,BDI,0
1990,SWE,BDI,9
1990,GBR,BDI,74
1990,ALB,BDI,0
1990,BIH,BDI,0
1990,HRV,BDI,0
1990,GRC,BDI,6
1990,ITA,BDI,61
1990,MLT,BDI,0
1990,MKD,BDI,0
1990,PRT,BDI,0
1990,SVN,BDI,1
1990,ESP,BDI,1
1990,AUT,BDI,7
1990,BEL,BDI,341
1990,FRA,BDI,394
1990,DEU,BDI,31
1990,LUX,BDI,0
1990,NLD,BDI,30
1990,CHE,BDI,41
1990,ATG,BDI,0
1990,ABW,BDI,0
1990,BHS,BDI,0
1990,BRB,BDI,0
1990,CUB,BDI,0
1990,DOM,BDI,0
1990,GRD,BDI,0
1990,GLP,BDI,1
1990,HTI,BDI,0
1990,JAM,BDI,0
1990,MTQ,BDI,3
1990,PRI,BDI,0
1990,LCA,BDI,0
1990,VCT,BDI,0
1990,TTO,BDI,0
1990,VIR,BDI,0
1990,BLZ,BDI,0
1990,CRI,BDI,0
1990,SLV,BDI,1
1990,GTM,BDI,0
1990,HND,BDI,0
1990,MEX,BDI,0
1990,NIC,BDI,0
1990,PAN,BDI,0
1990,ARG,BDI,1
1990,BOL,BDI,0
1990,BRA,BDI,0
1990,CHL,BDI,0
1990,COL,BDI,0
1990,ECU,BDI,0
1990,GUF,BDI,0
1990,GUY,BDI,0
1990,PRY,BDI,0
1990,PER,BDI,3
1990,SUR,BDI,0
1990,URY,BDI,0
1990,VEN,BDI,1
1990,CAN,BDI,84
1990,USA,BDI,59
1990,AUS,BDI,2
1990,NZL,BDI,0
1990,FJI,BDI,0
1990,NCL,BDI,0
1990,PNG,BDI,0
1990,SLB,BDI,0
1990,VUT,BDI,0
1990,GUM,BDI,0
1990,KIR,BDI,0
1990,FSM,BDI,0
1990,PYF,BDI,1
1990,WSM,BDI,0
1990,TON,BDI,0
1990,BDI,COM,0
1990,DJI,COM,0
1990,ERI,COM,4
1990,ETH,COM,0
1990,KEN,COM,11
1990,MDG,COM,4305
1990,MWI,COM,0
1990,MUS,COM,0
1990,MYT,COM,1205
1990,MOZ,COM,0
1990,REU,COM,623
1990,RWA,COM,0
1990,SYC,COM,0
1990,SOM,COM,0
1990,UGA,COM,0
1990,TZA,COM,54
1990,ZMB,COM,0
1990,ZWE,COM,0
1990,AGO,COM,0
1990,CMR,COM,2
1990,CAF,COM,0
1990,TCD,COM,0
1990,COG,COM,0
1990,COD,COM,0
1990,GNQ,COM,0
1990,GAB,COM,1
1990,STP,COM,0
1990,DZA,COM,0
1990,EGY,COM,57
1990,LBY,COM,142
1990,MAR,COM,1
1990,TUN,COM,0
1990,ESH,COM,0
