country_code,year,q05f,q10f,q50f,q90f,q95f,q05m,q10m,q50m,q90m,q95m,q05t,q10t,q50t,q90t,q95t
4,2023,20367188.8134749,20673105.4788785,21418832.1672551,21981082.4464953,22163883.6833878,21420065.9620274,21727636.6162271,22519620.8557553,23105515.3592369,23329953.3976103,41787254.7755023,42399981.2561237,43939405.6018773,45091384.8329358,45479224.9371138
8,2023,1335312.29072775,1355791.54416469,1402316.6823043,1451544.25672034,1464325.93016501,1371714.81523209,1394342.42904711,1445576.39485731,1497750.48419941,1511622.86338454,2706494.16761165,2750140.53895604,2847681.87452536,2949487.70969074,2975716.57378067
12,2023,23052339.3946566,23126200.117703,23399179.9415576,23611720.2455464,23654848.2188312,23525204.5563778,23601088.8497014,23892767.8148139,24102191.0720811,24149249.2302685,46577424.0360891,46724285.9384535,47291310.5543968,47710430.9381455,47803918.3749755
24,2023,19277351.7562856,19340400.9141838,19553433.568106,19769387.6683339,19844852.097663,18839000.296081,18905542.705107,19136519.8152048,19362379.6852958,19437562.0104876,38116223.9846673,38247139.2027166,38689078.043486,39123205.8613708,39281052.5045228
28,2023,48684.8215617298,49442.5268444286,52101.0645297583,54977.9392376287,55770.3186156581,45620.1542255561,46454.1953478925,49055.0514867346,51956.008729189,52759.9538917735,94333.2287703659,95912.4244993702,101145.763250344,106915.768754343,108551.751318461
31,2023,5159064.79856945,5178670.52054137,5247392.84588872,5321180.86487444,5346356.60331885,5150346.7218589,5170850.41296561,5245467.30694111,5323321.55090543,5348056.59820427,10309118.6419732,10350495.9765683,10492577.4004685,10644943.5329183,10694031.6791999
32,2023,23837639.0581966,23902458.5395205,24135985.1672012,24371753.1410538,24420694.6638434,22743067.9648043,22813558.0518834,23061542.4258754,23301940.6703692,23369728.4409739,46572903.8159074,46717736.141659,47202174.8929151,47676748.4710306,47785834.4574356
36,2023,13221556.7290953,13300887.5116006,13561173.2289436,13880258.1312523,13992181.1973092,13141258.6827689,13221125.9788649,13490552.9961647,13831287.4845616,13938698.8772974,26362672.123026,26516616.1361588,27053712.2324295,27705728.1272074,27918807.3182122
40,2023,4560037.09729213,4590591.5631478,4678707.34704147,4787544.1443389,4825276.9062351,4450866.90415626,4486036.30649784,4580522.66438391,4690966.87074346,4732271.61604132,9017747.91726533,9078030.11628413,9256796.30080322,9478050.42537264,9552525.34646632
44,2023,201799.60097111,204657.093650618,211759.327793669,219910.438721474,222999.160294177,191113.466526308,193505.589149754,200583.529211166,208832.483955158,211903.700298037,392957.533504892,398137.856788395,412347.605028629,428742.450807003,434684.235396141
48,2023,672061.860167411,683696.631334655,729075.556815643,807447.39039524,837239.735730015,1104164.1585986,1122520.65535246,1191308.96822007,1279038.80088941,1309364.84397174,1780386.31440657,1807571.53607283,1918151.20042558,2081090.71209799,2147442.70478285
50,2023,84012865.6641213,84179330.9734497,85238904.3833324,86258602.0035988,86551626.5522816,85651281.7914667,85903042.5502999,87027343.6247882,88132534.4253923,88463903.907991,169653151.383934,170088180.925652,172262640.755514,174384529.424566,174974072.246334
51,2023,1520245.18004775,1541750.62520385,1587514.23432247,1629964.84524057,1646327.92109811,1352317.09706082,1373603.62707298,1420055.26099053,1463663.01399137,1479297.63985875,2871915.11693733,2915122.03047638,3008226.54509807,3092723.56787094,3125576.01461231
52,2023,145570.179154848,146545.593685589,150168.313965132,155599.951915435,157478.246357585,137198.396337757,138282.395188442,141926.108298501,147557.479655823,149442.437560236,282760.675451239,284876.327602103,292016.055830153,303129.318311333,306925.960072964
56,2023,5897548.15658117,5926414.30071263,6008748.4944281,6110515.61086984,6147460.02699187,5819020.85333676,5847085.57450037,5935369.27607442,6041037.88959504,6076577.95758832,11716533.1647118,11776473.1119986,11944987.7952076,12147020.3413538,12222664.955092
64,2023,366430.997414582,369630.89258731,380534.692574304,391904.734912276,395621.410035138,411062.100521619,414891.303115739,426880.916306684,438308.397245035,442885.356873927,777648.314249553,784384.04795585,807327.587076637,829879.646190829,838305.063711935
