country_code,year,q05in,q10in,q50in,q90in,q95in,q05out,q10out,q50out,q90out,q95out,q05net,q10net,q50net,q90net,q95net
4,2023,578728.85,682857.8,1253538.5,2197509.3,2601786.45,436118.65,545459.8,1122025,2549666.1,3162976.4,-1961892.05,-1370283.6,104174.5,1200499.5,1574130.1
8,2023,52452.7,59197.8,104451,187810.5,215310.3,95345.7,109297.5,166248,252249.7,285659.8,-195241.4,-157350.6,-59599.5,37806.3,70857.35
12,2023,165442.75,180305.5,243350.5,351606.3,392251.7,211159.45,250000.6,382964,604002.2,702507.65,-463550.3,-364380.9,-135621,40467.2,89121.6
24,2023,190112.7,209728.5,338611.5,611819.6,748292.4,89098.5,102407.4,148831.5,216463.8,245464.6,10735.15,40335.8,186764,460461.8,616538.6
28,2023,7482.5,8239.7,11131.5,16000.5,17848.9,6940.4,8518,12085,15821,17409.05,-7114.55,-5748.9,-503,5236.2,6876.05
31,2023,107570.8,120885.6,178882.5,276369.4,317878.35,99724.8,114593.2,175461,261300.8,311970.9,-148714.1,-102186.5,4387.5,117979.7,167164.25
32,2023,543543.45,577560.2,752705,996829.6,1083741.25,442671.55,500380.3,677416.5,893521.3,1013642.55,-286802.65,-200715.9,92303,366238.1,459919.3
36,2023,1725629.75,1804325.5,2157010,2692927.4,2925169.8,918731.55,995009.9,1264465.5,1626281.5,1757487.35,217829.3,389674.3,900738,1517864.6,1758516.45
40,2023,433378.95,459812.8,572456,766808.8,840753.1,184821.35,212613.8,305738,435718.1,489146.4,37745.9,89103.2,266448,480610.2,559821.9
44,2023,15665.5,17574.7,25031,39198.3,45111,9325.95,10805.8,18023.5,30688.8,35540.7,-11834.65,-6965.4,6854.5,23097.6,28242.25
48,2023,155586.35,174248.3,255853,414429.1,470086.95,67459.7,78382.3,117148.5,188855.2,222596.8,-3554.35,23403.2,136779.5,301908.3,358787.2
50,2023,844321.8,937659.9,1348636.5,2227161.6,2595701.85,1841884.05,2146369.4,3315409,4674150.2,4923057.95,-3667839.75,-3288384.1,-1893544,-531018.3,-12835.100000001
51,2023,87974.75,96986.3,136689,207284.6,244148.55,80334.9,92101.5,142396.5,223511.1,267385.6,-135812.85,-93398.9,-5133.5,81643.7000000001,115923.35
52,2023,9997.3,11105.5,16555.5,26483.4,31535.65,9617.1,10828.9,13841.5,17889.6,19839.1,-6179.95,-4120.2,3119,13381.3,17407.4
56,2023,517692.05,540926.7,657572,837999.6,904596.05,230849.75,259953.1,351405,464848.8,506239.7,88266.55,152865.2,306039.5,504295.4,580590.6
64,2023,6969.5,8390.8,17843,38219.1,46378.4,7519.1,9111.9,18348.5,38515.1,48183.85,-28723.75,-21385.9,-350,21639.8,29898.9
68,2023,83430.55,90898.1,133204.5,207669.5,245025.8,147241.85,166574.5,228183,319748.4,363283.15,-242082.15,-195687.3,-91239.5,1741.60000000001,40961.05
70,2023,99839.5,108134.8,142059,193918.4,213565.55,97287.4,116177.3,211888,359192.3,393324.6,-257740.05,-218448.2,-65296.5,37625.4,64343.7
72,2023,28763.9,33593.8,55455,99432.2,120495.25,15935.9,19449.6,42078.5,81691.5,102823.9,-50376.75,-31575.1,13866,57212.9,77022.8999999999
76,2023,409235.3,431063.9,539476.5,695321.2,757118.1,433219.35,484041.6,681157.5,951823.8,1062175.5,-544784.8,-423296.1,-136092.5,116525.7,181374.1
84,2023,13389.5,14741.9,22389,36528.4,43306.6,8329.2,10069.8,17614,30793.8,36107.85,-15359.6,-10858.7,4884.5,20800.9,29204.15
90,2023,335,382.9,609,1020.1,1240.1,5269.2,6391.1,10942,18398.2,20856.65,-20254.85,-17334.6,-10251.5,-5688.4,-4457.75
96,2023,21676.35,23861.5,36810.5,59933.8,69664.2,16154.9,17938.2,24437.5,35015.2,39447.5,-8959.95,-3860.2,11336,35780.9,44886.95
100,2023,113967.3,123815.1,184228,289279.4,350580,135313,160873.5,259758,416908.7,496172.15,-330372.1,-251117.9,-69227.5,73142.2,118650.95
104,2023,110471.45,129514.3,230051,478170.7,595714.9,607352,724778.7,1246909,2224544.3,2569818.55,-2352404.55,-1965251.3,-982333,-394710.4,-286434.25
108,2023,58412.4,69925.4,137387,277118.2,352723.9,72155.3,91683.5,181289,344097.8,420264.2,-292835.65,-218227.3,-38306,113635.4,183259.25
112,2023,241010.95,266574.9,373524.5,549344.2,615988.25,199274.4,222261.2,298761.5,395663.4,458009.65,-130426.55,-80537,79536.5,258695.5,353920.25
116,2023,114562.2,128443.3,227081.5,452824.9,555324.2,142936.55,170756.1,329958,626961.1,767715.5,-529764.05,-403235.6,-90175,182732.1,298808.05
120,2023,93432.8,107734.6,172410.5,304261.6,361958.8,156242.3,185787.7,296701,499688,580030.2,-439897.65,-341318,-115736,52326.8,96384.9499999999
124,2023,2440412.75,2549414.7,3015425,3679702.1,3956152.9,891771.2,978157.3,1246882.5,1573462.9,1731566.1,1027812.8,1168996.3,1788575.5,2457532.1,2766519.85
