orig,dest,year0,quantile05,quantile50,quantile95
ABW,AFG,2020,0,0,0
ABW,AGO,2020,0,0,0
ABW,ALB,2020,0,0,0
ABW,ARE,2020,0,0,4
ABW,ARG,2020,0,0,8
ABW,ARM,2020,0,0,0
ABW,ATG,2020,0,0,14
ABW,AUS,2020,6,37,147
ABW,AUT,2020,0,0,8
ABW,AZE,2020,0,0,0
ABW,BDI,2020,0,0,0
ABW,BEL,2020,0,6,29
ABW,BEN,2020,0,0,0
ABW,BFA,2020,0,0,0
ABW,BGD,2020,0,0,0
ABW,BGR,2020,0,0,6
ABW,BHR,2020,0,0,0
ABW,BHS,2020,0,0,8
ABW,BIH,2020,0,0,0
ABW,BLR,2020,0,0,0
ABW,BLZ,2020,0,0,0
ABW,BOL,2020,0,0,8
ABW,BRA,2020,0,4,26
ABW,BRB,2020,0,0,10
ABW,BRN,2020,0,0,0
ABW,BTN,2020,0,0,0
ABW,BWA,2020,0,0,0
ABW,CAF,2020,0,0,0
ABW,CAN,2020,77,265,783
ABW,CHE,2020,0,4,19
ABW,CHL,2020,0,6,48
ABW,CHN,2020,37,160,538
ABW,CIV,2020,0,0,0
ABW,CLI,2020,0,0,0
ABW,CMR,2020,0,0,0
ABW,COD,2020,0,0,0
ABW,COG,2020,0,0,0
ABW,COL,2020,442,1514,4634
ABW,COM,2020,0,0,0
ABW,CPV,2020,0,0,0
ABW,CRI,2020,0,10,49
ABW,CUB,2020,0,0,0
ABW,CUW,2020,102,479,1947
ABW,CYP,2020,0,0,0
ABW,CZE,2020,0,0,0
ABW,DEU,2020,4,19,73
ABW,DJI,2020,0,0,0
ABW,DNK,2020,0,0,6
ABW,DOM,2020,329,888,2419
ABW,DZA,2020,0,0,0
ABW,ECU,2020,0,8,46
ABW,EGY,2020,0,0,0
ABW,ERI,2020,0,0,0
ABW,ESH,2020,0,0,0
ABW,ESP,2020,4,36,175
ABW,EST,2020,0,0,0
ABW,ETH,2020,0,0,0
ABW,FIN,2020,0,0,0
ABW,FJI,2020,0,0,0
ABW,FRA,2020,4,19,82
ABW,FSM,2020,0,0,0
ABW,GAB,2020,0,0,0
ABW,GBR,2020,90,385,1374
ABW,GEO,2020,0,0,0
ABW,GHA,2020,0,0,0
ABW,GIN,2020,0,0,0
ABW,GLP,2020,0,0,0
ABW,GMB,2020,0,0,0
ABW,GNB,2020,0,0,0
ABW,GNQ,2020,0,0,0
ABW,GRC,2020,0,0,16
ABW,GRD,2020,8,44,131
ABW,GTM,2020,0,0,0
ABW,GUF,2020,0,8,33
ABW,GUM,2020,0,0,0
ABW,GUY,2020,8,36,104
ABW,HKG,2020,0,0,0
ABW,HND,2020,0,0,0
ABW,HRV,2020,0,0,0
ABW,HTI,2020,55,222,772
ABW,HUN,2020,0,0,0
ABW,IDN,2020,0,0,0
ABW,IND,2020,6,36,126
ABW,IRL,2020,0,0,10
ABW,IRN,2020,0,0,0
ABW,IRQ,2020,0,0,0
ABW,ISL,2020,0,0,0
ABW,ISR,2020,0,0,6
ABW,ITA,2020,0,6,38
ABW,JAM,2020,23,94,364
ABW,JOR,2020,0,0,0
ABW,JPN,2020,0,0,4
ABW,KAZ,2020,0,0,0
ABW,KEN,2020,0,0,0
ABW,KGZ,2020,0,0,0
ABW,KHM,2020,0,0,0
ABW,KIR,2020,0,0,0
ABW,KOR,2020,0,0,0
ABW,KWT,2020,0,0,0
ABW,LAO,2020,0,0,0
ABW,LBN,2020,0,0,0
ABW,LBR,2020,0,0,0
ABW,LBY,2020,0,0,0
ABW,LCA,2020,0,10,47
ABW,LKA,2020,0,0,0
ABW,LSO,2020,0,0,0
ABW,LTU,2020,0,0,0
ABW,LUX,2020,0,0,4
ABW,LVA,2020,0,0,0
ABW,MAC,2020,0,0,0
ABW,MAR,2020,0,0,0
ABW,MDA,2020,0,0,0
ABW,MDG,2020,0,0,0
ABW,MDV,2020,0,0,0
ABW,MEX,2020,0,0,15
ABW,MKD,2020,0,0,0
ABW,MLI,2020,0,0,0
ABW,MLT,2020,0,0,0
ABW,MMR,2020,0,0,0
ABW,MNE,2020,0,0,0
ABW,MNG,2020,0,0,0
ABW,MOZ,2020,0,0,0
ABW,MRT,2020,0,0,0
ABW,MTQ,2020,0,0,0
ABW,MUS,2020,0,0,0
ABW,MWI,2020,0,0,0
ABW,MYS,2020,0,0,0
ABW,MYT,2020,0,0,0
ABW,NAM,2020,0,0,0
ABW,NCL,2020,0,0,0
ABW,NER,2020,0,0,0
ABW,NGA,2020,0,0,0
ABW,NIC,2020,0,10,45
ABW,NLD,2020,568,2250,6686
ABW,NOR,2020,0,0,10
ABW,NPL,2020,0,0,0
ABW,NZL,2020,0,0,8
ABW,OMN,2020,0,0,0
ABW,PAK,2020,0,0,0
ABW,PAN,2020,0,0,16
ABW,PER,2020,31,124,488
ABW,PHL,2020,44,168,657
ABW,PNG,2020,0,0,0
ABW,POL,2020,0,0,0
ABW,PRI,2020,0,6,18
