country_code,year0,migLower,migMedian,migUpper,popLower,popMedian,popUpper
4,2020,-314602,-314602,-314602,38928341,38928341,38928341
4,2025,-6307740.75922655,-268291.136569161,6274662.95856284,37446005.7389749,43461158.9078088,50221859.2021853
4,2030,-6403617.77217476,-334353.791591647,7297527.46205546,37319419.6617175,48112320.1249826,61173972.0105259
4,2035,-6911291.96166777,-81950.3160701473,9051046.89316621,37176586.6927774,52557213.0617758,72455059.6338491
4,2040,-7222437.50056391,-229061.340044442,9422025.36163177,37386676.6293691,56680170.4584873,85610583.0088725
4,2045,-7522235.52647654,-84252.8350228869,10774504.8070337,37296857.7021399,60601763.4983187,102549893.652426
8,2020,-69998,-69998,-69998,2877800,2877800,2877800
8,2025,-241120.801401525,-54770.7264845539,112065.951783219,2671974.55105475,2852321.1060241,3027728.3736689
8,2030,-245229.938323174,-48643.6020062995,147787.324019263,2472716.04432436,2802525.22980492,3150194.76209616
8,2035,-244850.300718325,-36692.2454032062,183454.355743678,2264446.80755251,2740227.52352199,3276388.59175162
8,2040,-236246.282811548,-34373.1600967185,181746.606596575,2040982.56890014,2652574.09603679,3362686.9648425
8,2045,-233838.115711321,-35153.429423809,225500.679334675,1817248.30052786,2555189.26091099,3445033.94901354
12,2020,-50002,-50002,-50002,43851043,43851043,43851043
12,2025,-679009.255869226,-199951.748907267,319057.219316064,46449454.5758001,47203977.3417835,47899595.8201186
12,2030,-843091.915686099,-254210.456443691,389539.513617493,48422220.081998,49957282.5448039,51426786.0519376
12,2035,-961030.275036865,-295168.125865226,376653.077460598,49999951.7618828,52308114.0160752,54884546.6789545
12,2040,-1004156.91011757,-314922.876593565,447983.891847382,51283929.9774228,54603654.6531508,58330491.4164661
12,2045,-978814.95406158,-329405.520419561,467926.015565159,52588678.2520567,56848156.2324245,61893761.4156843
16,2020,-4501,-4501,-4501,55197,55197,55197
16,2025,-8197.75320288585,-3188.96722069326,1142.77994741442,50772.5326647435,55885.0968276201,60510.8032337984
16,2030,-8200.56703236798,-2483.40211289973,3518.98490351559,46639.2785005676,56873.6031702062,66866.8673483595
16,2035,-7833.08634229554,-1803.53491030659,5226.05946509211,42003.291871741,57712.1548545202,74337.9420125951
16,2040,-7142.55136193011,-1616.74006894208,6310.99030950237,37782.5713028483,58677.6538519383,81130.8889211695
16,2045,-6895.28119607105,-1394.5649860706,7436.7676603264,33875.3080709556,59003.0782846106,89440.0196690739
20,2020,-1000,-1000,-1000,77265,77265,77265
20,2025,-10379.1317572675,-617.448275666945,9377.51393786846,66400.8644136952,76046.6127598559,86274.2842388191
20,2030,-9685.61406046293,-308.790003332384,13565.6233026287,58209.291919265,74651.6664073775,97862.9094725414
20,2035,-8964.72751068423,491.172327799581,16725.7515717312,52714.3377185729,73837.1810097296,111472.309145541
20,2040,-8446.2272886132,810.937414482998,18573.0410289285,45922.0407665243,72353.1910189796,127538.789575318
20,2045,-7454.20799399903,1217.7382898103,22078.1031881529,41600.2081354691,71926.0938359376,143489.931799911
24,2020,32066,32066,32066,32866268,32866268,32866268
24,2025,-2025745.69506188,-19413.4262023072,1973022.23271333,36271407.2979616,38492032.9909828,40504885.4779032
24,2030,-2596155.74912313,-17216.6359056695,2653639.85551976,40154000.2641992,44812279.9112147,49477725.6353141
24,2035,-2840280.10627473,-172847.904822258,3371232.67824929,44847334.885916,51620561.0446338,59763708.5903318
24,2040,-3306324.25657059,-101173.611805646,3969245.27445572,49200260.796883,59156443.5954341,70914957.9098659
24,2045,-4169339.10539153,-248479.236493197,4214058.48275618,53538497.2973688,67326655.9558716,84268083.5617732
660,2020,104,104,104,15002,15002,15002
660,2025,-1707.29302814479,42.6451178984214,1571.46967573522,13834.6342863158,15521.5971473585,17150.5842915081
660,2030,-1848.45976360675,-5.24015423212185,2108.58445739095,12767.0776592253,15816.6484972183,19324.1899140355
660,2035,-1892.85833446811,-99.5827601049172,2335.54678833605,11714.9075178658,16009.0544012571,21757.3853091689
660,2040,-1813.25149905404,-44.0742775773981,2501.14786636042,10552.8586880554,16078.8661785432,23990.9673522882
660,2045,-1800.4503338737,-108.054620832301,2779.64557522116,9435.98256228383,16163.6467782718,26798.4197327178
28,2020,0,0,0,97928,97928,97928
